breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Halden Hound,Norway,https://en.wikipedia.org/wiki/Halden_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Haldenstovare.jpg/220px-Haldenstovare.jpg,Not available,Not available,Not available,Not available,Haldenstøver,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Haldenstovare.jpg/330px-Haldenstovare.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Haldenstovare.jpg/440px-Haldenstovare.jpg,,,,,
Hamiltonstövare,Sweden,https://en.wikipedia.org/wiki/Hamiltonst%C3%B6vare,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hamiltonstovare_600.jpg/220px-Hamiltonstovare_600.jpg,,Not available,"Undercoat short, close and soft, especially thick during winter. Upper coat strongly weather resistant lying close to body.",Not available,"Hamilton Hound,Swedish Foxhound",Hamilton,Tri-colour,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hamiltonstovare_600.jpg/330px-Hamiltonstovare_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hamiltonstovare_600.jpg/440px-Hamiltonstovare_600.jpg,53–61 cm (21–24 in),,49–57 cm (19–22 in),,
Hanover Hound,Germany,https://en.wikipedia.org/wiki/Hanover_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hannoverscher_Schweisshund.jpg/220px-Hannoverscher_Schweisshund.jpg,Not available,Not available,Not available,Not available,Hanoverian HoundHanoverian ScenthoundHannover'scher Schweisshund,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hannoverscher_Schweisshund.jpg/330px-Hannoverscher_Schweisshund.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Hannoverscher_Schweisshund.jpg/440px-Hannoverscher_Schweisshund.jpg,,,,,
Harrier,United Kingdom,https://en.wikipedia.org/wiki/Harrier_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harrier_tricolour.jpg/220px-Harrier_tricolour.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harrier_tricolour.jpg/330px-Harrier_tricolour.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harrier_tricolour.jpg/440px-Harrier_tricolour.jpg,,,,,
Havanese,Cuba (AKC)/Western Mediterranean Region (FCI),https://en.wikipedia.org/wiki/Havanese_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/A_Havanese_judging.jpg/220px-A_Havanese_judging.jpg,9 in (23 cm),7–14 lb (3–6 kg),Very soft double coat,Not available,Havanese Cuban BichonBichón HavanésHavaneserHavanezerBichon HabaneroRigno (Common Scottish Name),Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/A_Havanese_judging.jpg/330px-A_Havanese_judging.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/A_Havanese_judging.jpg/440px-A_Havanese_judging.jpg,,,,,
Himalayan Sheepdog,,https://en.wikipedia.org/wiki/Himalayan_Sheepdog,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/2._Himalayan_sheep_dog.jpg/220px-2._Himalayan_sheep_dog.jpg,"typically 51–66 cm (20–26 in), can be up to 76 cm (30 in)",23–41 kg (51–90 lb),"Long, thick and harsh double coat",Not available,"Bhotia, Bangara, Gaddi kutta, Himalayan mastiff",Not available,"Black & tan or solid black, some white markings extremities",Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/2._Himalayan_sheep_dog.jpg/330px-2._Himalayan_sheep_dog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/2._Himalayan_sheep_dog.jpg/440px-2._Himalayan_sheep_dog.jpg,,,,,
Hokkaido,Japan,https://en.wikipedia.org/wiki/Hokkaido_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hokkaidou_inu.jpg/220px-Hokkaidou_inu.jpg,Not available,Not available,Not available,Not available,Not available,"Dō-ken, Ainu-ken, Seta, Ainu dog, Hokkaido-Ken",Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/8/8e/Hokkaidou_inu.jpg,,,,,,
Hovawart,Germany,https://en.wikipedia.org/wiki/Hovawart,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Helos_11.jpg/220px-Helos_11.jpg,,30–50 kg (66–110 lb),Not available,Not available,Not available,Hovie,Not available,Not available,IHF - Internationale Hovawart Föderation,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Helos_11.jpg/330px-Helos_11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Helos_11.jpg/440px-Helos_11.jpg,63–73 cm (25–29 in),,58–65 cm (23–26 in),,
Huntaway,New Zealand,https://en.wikipedia.org/wiki/Huntaway,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Huntaway.JPG/220px-Huntaway.JPG,56–66 centimetres (22–26 in),25–40 kilograms (55–88 lb),smooth or rough (grizzled),Not available,New Zealand HuntawayNew Zealand Sheepdog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Huntaway.JPG/330px-Huntaway.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Huntaway.JPG/440px-Huntaway.JPG,,,,,
Hygen Hound,Norway,https://en.wikipedia.org/wiki/Hygen_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Norwegian_Hygenhound.jpg/220px-Norwegian_Hygenhound.jpg,Not available,Not available,Not available,Not available,Hygenhund,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Norwegian_Hygenhound.jpg/330px-Norwegian_Hygenhound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Norwegian_Hygenhound.jpg/440px-Norwegian_Hygenhound.jpg,,,,,
Ibizan Hound,"Ibiza, (Balearic Islands, Spain)",https://en.wikipedia.org/wiki/Ibizan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Podenco_z_ibizy_645.jpg/240px-Podenco_z_ibizy_645.jpg,Not available,Not available,Not available,Not available,Ibizan HoundIbizan Warren Hound,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Podenco_z_ibizy_645.jpg/360px-Podenco_z_ibizy_645.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Podenco_z_ibizy_645.jpg/480px-Podenco_z_ibizy_645.jpg,,,,,
Indian pariah dog,Indian subcontinent,https://en.wikipedia.org/wiki/Indian_pariah_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/The_Indian_Pariah_Dog.jpg/220px-The_Indian_Pariah_Dog.jpg,,,Short,Not available,Not available,South Asian pariah dogPye-dogINDogDesi dog,"solid fawn, pied (fawn/black & white), black (rare)",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/The_Indian_Pariah_Dog.jpg/330px-The_Indian_Pariah_Dog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/The_Indian_Pariah_Dog.jpg/440px-The_Indian_Pariah_Dog.jpg,20–25 in (51–64 cm),20–30 kg (44–66 lb),18–23 in (46–58 cm),15–25 kg (33–55 lb),
Indian Spitz,India,https://en.wikipedia.org/wiki/Indian_Spitz,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Indian_Spitz_Dog.jpg/220px-Indian_Spitz_Dog.jpg,,,"Predominantly White,Dusky Brown,Black, Mix coat colours",Not available,Not available,Indian Pomeranian,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Indian_Spitz_Dog.jpg/330px-Indian_Spitz_Dog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Indian_Spitz_Dog.jpg/440px-Indian_Spitz_Dog.jpg,35-40 cm,15-20 kgs,30-35 cm,10-15 kgs,
Irish Red and White Setter,Ireland,https://en.wikipedia.org/wiki/Irish_Red_and_White_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Irish_Red_And_White_Setter_2005.jpg/220px-Irish_Red_And_White_Setter_2005.jpg,,50 to 70 lb (23 to 32 kg),Not available,Not available,Not available,Irish R&W SetterIRWS,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Irish_Red_And_White_Setter_2005.jpg/330px-Irish_Red_And_White_Setter_2005.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Irish_Red_And_White_Setter_2005.jpg,24 to 26 inches (61 to 66 cm),,22.5 to 24 inches (57 to 61 cm),,
Irish Setter,Ireland,https://en.wikipedia.org/wiki/Irish_Setter,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Can_Setter_dog_GFDL.jpg/220px-Can_Setter_dog_GFDL.jpg,Not available,Not available,Not available,Not available,Red Setter (Irish: sotar rua)Irish Red Setter,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Can_Setter_dog_GFDL.jpg/330px-Can_Setter_dog_GFDL.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Can_Setter_dog_GFDL.jpg/440px-Can_Setter_dog_GFDL.jpg,,,,,
Irish Terrier,Ireland,https://en.wikipedia.org/wiki/Irish_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/IrishTerrierSydenhamHillWoods.jpg/220px-IrishTerrierSydenhamHillWoods.jpg,,,"Dense, wiry",Not available,Irish Red Terrier,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/IrishTerrierSydenhamHillWoods.jpg/330px-IrishTerrierSydenhamHillWoods.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/IrishTerrierSydenhamHillWoods.jpg/440px-IrishTerrierSydenhamHillWoods.jpg,17–18 inches (43–46 cm),25–27 pounds (11–12 kg),16–18 inches (41–46 cm),24–26 pounds (11–12 kg),
Irish Water Spaniel,Ireland,https://en.wikipedia.org/wiki/Irish_Water_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Irlandzki_spaniel_wodny_676.jpg/220px-Irlandzki_spaniel_wodny_676.jpg,Not available,Not available,Not available,Not available,WhiptailShannon SpanielRat Tail SpanielBog Dog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Irlandzki_spaniel_wodny_676.jpg/330px-Irlandzki_spaniel_wodny_676.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Irlandzki_spaniel_wodny_676.jpg/440px-Irlandzki_spaniel_wodny_676.jpg,,,,,
Irish Wolfhound,Ireland,https://en.wikipedia.org/wiki/Irish_Wolfhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/%282%29_Irish_Wolfhound_4.jpg/220px-%282%29_Irish_Wolfhound_4.jpg,81–86 cm (32–34 in),,"rough and hard on the head, body and legs; beard and hair over eyes particularly wiry",Not available,Not available,Not available,"black, brindle, fawn, grey, red, pure white, or any colour seen in the Deerhound",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/%282%29_Irish_Wolfhound_4.jpg/330px-%282%29_Irish_Wolfhound_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/%282%29_Irish_Wolfhound_4.jpg/440px-%282%29_Irish_Wolfhound_4.jpg,,minimum 54.5 kg (120 lb),,minimum 40.5 kg (89 lb),
Istrian Coarse-haired Hound,Croatia,https://en.wikipedia.org/wiki/Istrian_Coarse-haired_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Istrian_hound2.jpg/220px-Istrian_hound2.jpg,Not available,Not available,Not available,Not available,Istrian Rough-coated Hound,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Istrian_hound2.jpg/330px-Istrian_hound2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Istrian_hound2.jpg/440px-Istrian_hound2.jpg,,,,,
