breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Affenpinscher,Germany,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,23–30 cm (9–12 in),3–6 kg (7–13 lb),Wire,Not available,Not available,AffenAffie,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/330px-Affenpinscher.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/440px-Affenpinscher.jpg,,,,,
Affenpinscher,Germany,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,23–30 cm (9–12 in),3–6 kg (7–13 lb),Wire,Not available,Not available,AffenAffie,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/330px-Affenpinscher.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/440px-Affenpinscher.jpg,,,,,
Afghan Hound,Afghanistan,https://en.wikipedia.org/wiki/Afghan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/220px-Afghan_dog_-_cropped.jpg,,,Long and fine,Not available,Da Kochyano Spay Sage Balochi Ogar Afgan Barakzai Hound Eastern Greyhound/Persian Greyhound,Not available,Fawn Gold Brindle White Red Cream Blue Gray Tricolour,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/330px-Afghan_dog_-_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Afghan_dog_-_cropped.jpg,61–73 cm (24–29 in),20–27 kg (44–60 lb),,,
Africanis,Southern Africa,https://en.wikipedia.org/wiki/Africanis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/220px-Africanis_%281%29.jpg,50–62 cm (20–24 in),Not available,Short and compact,Not available,African dogBantu dogHottentot hunting dogKhoekhoe dogTswana dogZulu dogKataliMukehe,Not available,"All colours or combinations of colours, particularly brown, brindle, black or white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/330px-Africanis_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/440px-Africanis_%281%29.jpg,,,,,
Aidi,Morocco,https://en.wikipedia.org/wiki/Aidi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/220px-Aidi.jpg,52–62 cm (20–24 in),55 pounds (25 kg),"Thick, medium-length",Not available,AïdiAtlas Mountain DogAtlas Shepherd DogBerber DogChien de l'AtlasChien de montagne de l'Atlas,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/330px-Aidi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/440px-Aidi.jpg,,,,,
Airedale Terrier,England,https://en.wikipedia.org/wiki/Airedale_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Airedale_Terrier.jpg/220px-Airedale_Terrier.jpg,,,Broken,Not available,Waterside TerrierBingley Terrier,AiredaleKing of Terriers,"Black saddle with tan ears, legs, and head; dark grizzle saddle (black mixed with gray and white)",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg,,22–24 inches (56–61 cm),40–50 pounds (18–23 kg),22–23 inches (56–58 cm),35–40 pounds (16–18 kg),
Akbash,Turkey,https://en.wikipedia.org/wiki/Akbash,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/220px-Akbash_Dog_male_2016.jpg,,,Medium or long double coat,Not available,Akbaş Çoban Köpeği,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/330px-Akbash_Dog_male_2016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/440px-Akbash_Dog_male_2016.jpg,28–32 in (71–81 cm),90–140 lb (41–64 kg),27–30 in (69–76 cm),75–105 lb (34–48 kg),
Akita,Japan,https://en.wikipedia.org/wiki/Akita_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/220px-American-akita.jpg,,,Double coat,Not available,"Akita Inu, Japanese Akita",Not available,"Ginger, Red, brindle, or white, all with white fur on the ventral areas of the dog (genetics variants can include black & grey) (urajiro)",Not available,"National dog of Japan,Prefecture animal of Akita",Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/330px-American-akita.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/440px-American-akita.jpg,26–28 in (66–71 cm),100–130 lb (45–59 kg),24–26 in (61–66 cm),85–100 lb (39–45 kg),
Aksaray Malaklisi,Turkey,https://en.wikipedia.org/wiki/Aksaray_Malaklisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/220px-Aksaray_malaklisi_beto.jpg,73–78 cm (29–31 in),Not available,Short,Not available,Malaklı Karabaş,Not available,Grey,Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/330px-Aksaray_malaklisi_beto.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/440px-Aksaray_malaklisi_beto.jpg,,,,,
Alano Español,Spain,https://en.wikipedia.org/wiki/Alano_Espa%C3%B1ol,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/220px-Spanish_Alano_1.jpg,,75–88 pounds (34–40 kg),Short and thick,Not available,Spanish AlauntSpanish BulldogSpanish Alano,Not available,"Any kind of brindle; leonardo (fawn); black and brindle; sable wolf, blue",Not available,The Alano Español is recognised in Spanish legislation: 63,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/330px-Spanish_Alano_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/440px-Spanish_Alano_1.jpg,23–25 inches (58–64 cm),,22–24 inches (56–61 cm),,
Alapaha Blue Blood Bulldog,United States,https://en.wikipedia.org/wiki/Alapaha_Blue_Blood_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/220px-Alapaha_Blue-Blood_Bulldog.jpg,20–25 in (51–64 cm),50–90 lb (23–41 kg),Short,Not available,Not available,Ottos,Not available,Not available,Not available,Not recognized as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/330px-Alapaha_Blue-Blood_Bulldog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/440px-Alapaha_Blue-Blood_Bulldog.jpg,,,,,
Alaskan husky,,https://en.wikipedia.org/wiki/Sled_dog#Alaskan_husky,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,,,,,Not available
Alaskan Klee Kai,United States,https://en.wikipedia.org/wiki/Alaskan_Klee_Kai,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg/220px-WOWAKK-Kukai-Alaskan-Klee-Kai.jpg,toy: up to 13 in (33 cm); miniature: 13–15 in (33–38 cm); standard: 15–17 in (38–43 cm);,toy: up to 9 lb (4.1 kg); miniature: 10–15 lb (4.5–6.8 kg); standard: 16–22 lb (7.3–10.0 kg);,Standard or full-coated,Not available,Klee Kai,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg/330px-WOWAKK-Kukai-Alaskan-Klee-Kai.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/WOWAKK-Kukai-Alaskan-Klee-Kai.jpg/440px-WOWAKK-Kukai-Alaskan-Klee-Kai.jpg,,,,,
Alaskan Malamute,United States (Alaska),https://en.wikipedia.org/wiki/Alaskan_Malamute,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/300px-Alaskan_Malamute.jpg,,,"Thick, a double coat, with plush undercoat",Not available,Not available,Mal or Mally,Not available,Not available,State dog of Alaska,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/450px-Alaskan_Malamute.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/600px-Alaskan_Malamute.jpg,25 inches (64 cm),38 kilograms (84 lb),23 inches (58 cm),,
Alpine Dachsbracke,Austria,https://en.wikipedia.org/wiki/Alpine_Dachsbracke,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg/220px-Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg,13 to 16 inches (33 to 41 cm),33 to 40 pounds (15 to 18 kg),"Dense, short, smooth",Not available,Alpenländische Dachsbracke,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg/330px-Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg/440px-Alpejski_go%C5%84czy_kr%C3%B3tkono%C5%BCny_g99.jpg,,,,,
American Bully,United States,https://en.wikipedia.org/wiki/American_Bully,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Champion_Charlie_Muscles_%282%29.jpg/220px-Champion_Charlie_Muscles_%282%29.jpg,33–50 cm (13–20 in),20–60 kg (44–132 lb),"Short, smooth and glossy",Not available,Not available,Am. BullyBully,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Champion_Charlie_Muscles_%282%29.jpg/330px-Champion_Charlie_Muscles_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Champion_Charlie_Muscles_%282%29.jpg/440px-Champion_Charlie_Muscles_%282%29.jpg,,,,,
American Eskimo Dog,United StatesGermany,https://en.wikipedia.org/wiki/American_Eskimo_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Eskimo_Dog_1.jpg/220px-American_Eskimo_Dog_1.jpg,Not available,Not available,softdense,Not available,Cloud SpitzAmerican SpitzGerman Spitz,"Cloud, Eskie",Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Eskimo_Dog_1.jpg/330px-American_Eskimo_Dog_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Eskimo_Dog_1.jpg/440px-American_Eskimo_Dog_1.jpg,,,,,
American Foxhound,United States,https://en.wikipedia.org/wiki/American_Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/AmericanFoxhound2.jpg/220px-AmericanFoxhound2.jpg,,,"Short, hard",Not available,Not available,Foxhound,Not available,Not available,State dog of Virginia,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/AmericanFoxhound2.jpg/330px-AmericanFoxhound2.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/AmericanFoxhound2.jpg,21–25 in (53–64 cm),55–71 lb (25–32 kg),,,
American Hairless Terrier,United States,https://en.wikipedia.org/wiki/American_Hairless_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Aht-sable%26white3.jpg/220px-Aht-sable%26white3.jpg,10–18 in (25–46 cm),7–14 lb (3.2–6.4 kg),"Hairless, coated examples have a short dense coat",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Aht-sable%26white3.jpg/330px-Aht-sable%26white3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Aht-sable%26white3.jpg/440px-Aht-sable%26white3.jpg,,,,,
Pitbull,United States,https://en.wikipedia.org/wiki/Pitbull,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pit_bull_sampler.jpg/220px-Pit_bull_sampler.jpg,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pit_bull_sampler.jpg/330px-Pit_bull_sampler.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Pit_bull_sampler.jpg/440px-Pit_bull_sampler.jpg,,,,,
American Staffordshire Terrier,United States,https://en.wikipedia.org/wiki/American_Staffordshire_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg/220px-AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg,16.9–18.8 in (43–48 cm),about 50–80 lb (23–36 kg),Smooth,Not available,Not available,"AmStaff, American Staffy",Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg/330px-AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg/440px-AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg,,,,,
American Water Spaniel,United States,https://en.wikipedia.org/wiki/American_Water_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Chien_d%27eau_americain_champion_1.JPG/220px-Chien_d%27eau_americain_champion_1.JPG,,,"Double coated, curly exterior layer",Not available,"American Brown Spaniel, American Brown Water Spaniel",AWS,Not available,Not available,State dog of Wisconsin,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Chien_d%27eau_americain_champion_1.JPG/330px-Chien_d%27eau_americain_champion_1.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Chien_d%27eau_americain_champion_1.JPG/440px-Chien_d%27eau_americain_champion_1.JPG,15–18 inches (38–46 cm),25–40 lb (11–18 kg),15–18 inches (38–46 cm),25–40 lb (11–18 kg),
Andalusian Hound,Andalusia (Spain),https://en.wikipedia.org/wiki/Andalusian_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Podenco_chico_resized.jpg/220px-Podenco_chico_resized.jpg,,small: 5–11 kg (11–24 lb)medium: 10–22 kg (22–49 lb)large: 21–33 kg (46–73 lb),Not available,Not available,Andalusian HoundAndalusian Podenco,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Podenco_chico_resized.jpg/330px-Podenco_chico_resized.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Podenco_chico_resized.jpg/440px-Podenco_chico_resized.jpg,small: 35–42 cm (14–17 in); medium: 43–53 cm (17–21 in); large: 54–64 cm (21–25 in) at the withers,,small: 32–41 cm (13–16 in); medium: 42–53 cm (17–21 in); large: 53–61 cm (21–24 in) at the withers,,
Anglo-Français de Petite Vénerie,France,https://en.wikipedia.org/wiki/Anglo-Fran%C3%A7ais_de_Petite_V%C3%A9nerie,https://upload.wikimedia.org/wikipedia/commons/3/31/Anglo-Fran%C3%A7ais_de_petite_v%C3%A9nerie.jpg,48–56 cm (19–22 in),Not available,"short, dense and smooth",Not available,Not available,Not available,"white, black and bright tan; white, black and pale tan; white and orange.",Not available,Not available,Not available,Not available,,,,,,,Not available
Appenzeller Sennenhund,Switzerland,https://en.wikipedia.org/wiki/Appenzeller_Sennenhund,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Dara_essy.jpg/220px-Dara_essy.jpg,,Not available,Not available,Not available,AppenzellerAppenzeller Cattle DogAppenzeller Mountain DogBouvier Appenzellois,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/9/9e/Dara_essy.jpg,,52–56 cm (20–22 in),,50–54 cm (20–21 in),,
Armant,Egypt,https://en.wikipedia.org/wiki/Armant_(dog),https://upload.wikimedia.org/wikipedia/commons/2/22/Armant_dog%2C_with_some_orange_stuff_and_trees_in_background.jpg,approx 56 cm (22 in),23–27 kg (51–60 lb),"Long, shaggy & rough",Not available,Egyptian SheepdogErmenti,Not available,"Black, black & tan, tri-colour, grey and greyish yellow",Not available,Not available,Not available,Not available,,,,,,,Not available
Artois Hound,France,https://en.wikipedia.org/wiki/Artois_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Artois_from_1915.JPG/220px-Artois_from_1915.JPG,53–58 cm (21–23 in),28–30 kg (62–66 lb),Not available,Not available,Chien d'Artois  Picard  Briquet,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Artois_from_1915.JPG/330px-Artois_from_1915.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Artois_from_1915.JPG/440px-Artois_from_1915.JPG,,,,,
Australian Cattle Dog,Australia,https://en.wikipedia.org/wiki/Australian_Cattle_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ACD-blue-spud.jpg/220px-ACD-blue-spud.jpg,,15–22 kg (33–49 lb),short double coat,Not available,"ACD, Cattle Dog, Blue Heeler, Red Heeler, Queensland Heeler",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ACD-blue-spud.jpg/330px-ACD-blue-spud.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ACD-blue-spud.jpg/440px-ACD-blue-spud.jpg,46–51 cm (18–20 in),,43–48 cm (17–19 in),,
Australian Kelpie,Australia,https://en.wikipedia.org/wiki/Australian_Kelpie,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hilu_the_Australian_Kelpie_dog.jpg/220px-Hilu_the_Australian_Kelpie_dog.jpg,39–51 cm (15–20 in),13–19 kg (29–42 lb),short double coat,Not available,"Kelpie, Barb",Farmer Dog,"black, black and tan, red, red and tan, chocolate, chocolate and tan, blue, blue and tan, fawn, fawn and tan, cream, black and white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hilu_the_Australian_Kelpie_dog.jpg/330px-Hilu_the_Australian_Kelpie_dog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Hilu_the_Australian_Kelpie_dog.jpg/440px-Hilu_the_Australian_Kelpie_dog.jpg,,,,,
Australian Shepherd,United States,https://en.wikipedia.org/wiki/Australian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Australian_Shepherd_red_bi.JPG/220px-Australian_Shepherd_red_bi.JPG,,35–70 lb (16–32 kg),Moderately long double coat,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Australian_Shepherd_red_bi.JPG/330px-Australian_Shepherd_red_bi.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Australian_Shepherd_red_bi.JPG/440px-Australian_Shepherd_red_bi.JPG,20–23 in (51–58 cm),,18–21 in (46–53 cm),,
Australian Terrier,Australia,https://en.wikipedia.org/wiki/Australian_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Australian_Terrier_adult_male.jpg/220px-Australian_Terrier_adult_male.jpg,,,Not available,Not available,Not available,Aussie,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Australian_Terrier_adult_male.jpg/330px-Australian_Terrier_adult_male.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Australian_Terrier_adult_male.jpg/440px-Australian_Terrier_adult_male.jpg,~25 centimetres (10 in),~6.5 kilograms (14 lb),,,
Austrian Black and Tan Hound,Austria,https://en.wikipedia.org/wiki/Austrian_Black_and_Tan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Brandlbracke.JPG/220px-Brandlbracke.JPG,,33–49 lb (15–22 kg),"smooth, dense, and short",Not available,"Brandlbracke, Vieräugl",Bracke (colloquially called Vieräugl),Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Brandlbracke.JPG/330px-Brandlbracke.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Brandlbracke.JPG/440px-Brandlbracke.JPG,50–56 cm (20–22 in),,48–54 cm (19–21 in),,
Azawakh,"Mali, Niger, Burkina Faso",https://en.wikipedia.org/wiki/Azawakh,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bistrita_2015_%2822%29.jpg/220px-Bistrita_2015_%2822%29.jpg,,,"Short, fine",Not available,IdiHansheeOskaRawonduBareeruWulo(formerly) Tuareg Sloughi,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bistrita_2015_%2822%29.jpg/330px-Bistrita_2015_%2822%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Bistrita_2015_%2822%29.jpg/440px-Bistrita_2015_%2822%29.jpg,64–74 cm (25–29 in),20–25 kg (44–55 lb),60–70 cm (24–28 in),15–20 kg (33–44 lb),
Bakharwal dog,Indian subcontinent,https://en.wikipedia.org/wiki/Bakharwal_dog,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bakharwal.jpg/220px-Bakharwal.jpg,,70–90 kg (150–200 lb),Double coat,Not available,"Bakerwal, Bakerwal Mastiff, Gujar Dog, Gujar Watchdog, Kashmiri Sheepdog, Kashmiri Bakerwal Dog, Kashmiri Mastiff",Not available,"Black and tan, piebald, tri-colour",Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bakharwal.jpg/330px-Bakharwal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bakharwal.jpg/440px-Bakharwal.jpg,61–76 cm (24–30 in),,61–76 cm (24–30 in),,
Banjara Hound,India,https://en.wikipedia.org/wiki/Banjara_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Banjara_from_1915.JPG/220px-Banjara_from_1915.JPG,Not available,Not available,Not available,Not available,"Banjāri Hound, Vanjāri Hound, Banjāri Greyhound, Vanchāri Hound, Wanjāri Hound",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Banjara_from_1915.JPG/330px-Banjara_from_1915.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Banjara_from_1915.JPG/440px-Banjara_from_1915.JPG,,,,,
Barbado da Terceira,"Azores, Portugal",https://en.wikipedia.org/wiki/Barbado_da_Terceira,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Barbado_da_Terceira_%28young_female%29.jpg/220px-Barbado_da_Terceira_%28young_female%29.jpg,,,"Long, wavy double coat",Not available,Terceira Cattle Dog,Not available,"Yellow, grey, black or fawn with white patches on the chest, belly and tip of the tail",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Barbado_da_Terceira_%28young_female%29.jpg/330px-Barbado_da_Terceira_%28young_female%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Barbado_da_Terceira_%28young_female%29.jpg/440px-Barbado_da_Terceira_%28young_female%29.jpg,52–58 cm (20–23 in),25–30 kg (55–66 lb),48–54 cm (19–21 in),21–26 kg (46–57 lb),
Barbet,France,https://en.wikipedia.org/wiki/Barbet_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Chien_de_race_Barbet.jpg/220px-Chien_de_race_Barbet.jpg,,Not available,"thick, long, woolly, wavy, and curly",Not available,French Water Dog,Not available,"Solid black, grey, brown, fawn, pale fawn, white or more or less pied",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/c/cf/Chien_de_race_Barbet.jpg,,58–65 cm (23–26 in),,53–61 cm (21–24 in),,
Basenji,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Basenji,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Basenji_Profile_%28loosercrop%29.jpg/220px-Basenji_Profile_%28loosercrop%29.jpg,,,short and fine,Not available,African bush dogAfrican barkless dogAngo angariCongo dogZande dog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Basenji_Profile_%28loosercrop%29.jpg/330px-Basenji_Profile_%28loosercrop%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Basenji_Profile_%28loosercrop%29.jpg/440px-Basenji_Profile_%28loosercrop%29.jpg,43 cm (17 in),11 kg (24 lb),40 cm (15+1⁄2 in),9.5 kg (21 lb),
Basque Shepherd Dog,Basque Country (Spain),https://en.wikipedia.org/wiki/Basque_Shepherd_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pastor_vasco_m_14months_loby_3018.jpg/220px-Pastor_vasco_m_14months_loby_3018.jpg,,,"moderately longGorbeiakoa: smooth, softIletsua: rough, coarse",Not available,Basque: Euskal Artzain TxakurraSpanish: Perro de Pastor VascoBasque SheepdogBasque Herder,Not available,"Gorbeiakoa: red, fawnIletsua: cinnamon, fawn",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pastor_vasco_m_14months_loby_3018.jpg/330px-Pastor_vasco_m_14months_loby_3018.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pastor_vasco_m_14months_loby_3018.jpg/440px-Pastor_vasco_m_14months_loby_3018.jpg,gorbeiakoa: 47–61 cm (19–24 in)iletsua: 47–63 cm (19–25 in),gorbeiakoa: 18–36 kg (40–79 lb)iletsua: 18–33 kg (40–73 lb),gorbeiakoa: 46–59 cm (18–23 in)iletsua: 46–58 cm (18–23 in),gorbeiakoa: 17–29 kg (37–64 lb)iletsua: 17–30 kg (37–66 lb),
